Date of Demolition,Locality,District,Area,Housing Units,People left Homeless,Minors left Homeless,Type Of Structure
2024-12-10,Kh.a-Twayel,Nablus,west-bank,2,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,5,3,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,2,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,4,2,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,6,4,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,0,0,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,2,0,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,5,3,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,7,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,6,3,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,2,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,6,4,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-12-09,al-Walajah,Bethlehem,west-bank,1,0,0,Residental
2024-12-09,al-Walajah,Bethlehem,west-bank,1,0,0,Residental
2024-12-04,Huwarah,Nablus,west-bank,2,0,0,Non Resedential
2024-12-04,Huwarah,Nablus,west-bank,2,0,0,Non Resedential
2024-12-04,'Awarta,Nablus,west-bank,2,0,0,Non Resedential
2024-12-04,'Awarta,Nablus,west-bank,1,0,0,Non Resedential
2024-12-04,Majdal Bani Fadel,Nablus,west-bank,1,0,0,Non Resedential
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,3,1,Residental
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,4,0,Residental
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,4,2,Residental
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,3,0,0,Non Resedential
2024-12-03,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,7,5,Residental
2024-12-03,Nahhalin,Bethlehem,west-bank,1,2,0,Residental
2024-12-03,Nahhalin,Bethlehem,west-bank,1,5,3,Residental
2024-12-03,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-03,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-02,Beit Kahil,Hebron,west-bank,1,0,0,Non Resedential
2024-12-02,Beit Kahil,Hebron,west-bank,1,0,0,Non Resedential
2024-12-02,al-Jib,al-Quds,west-bank,1,0,0,Non Resedential
2024-12-02,al-Jib,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-29,Sinjil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-11-28,Beit Liqya,Ramallah and al-Bira,west-bank,3,0,0,Non Resedential
2024-11-28,Beit 'Anan,al-Quds,west-bank,2,0,0,Non Resedential
2024-11-28,Beit 'Anan,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-28,Beit 'Anan,al-Quds,west-bank,2,0,0,Non Resedential
2024-11-27,Barta'ah a-Sharqiyah,Jenin,west-bank,1,0,0,Non Resedential
2024-11-27,Barta'ah a-Sharqiyah,Jenin,west-bank,1,0,0,Non Resedential
2024-11-27,Barta'ah a-Sharqiyah,Jenin,west-bank,1,0,0,Non Resedential
2024-11-26,Huwarah,Nablus,west-bank,0,0,0,Non Resedential
2024-11-25,Deir Dobwan,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-11-25,Deir Dobwan,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2024-11-25,al-Burj,Hebron,west-bank,1,8,4,Residental
2024-11-21,Qabalan,Nablus,west-bank,2,0,0,Non Resedential
2024-11-20,a-Ramadin,Hebron,west-bank,1,0,0,Residental
2024-11-20,a-Ramadin,Hebron,west-bank,3,0,0,Non Resedential
2024-11-20,a-Ramadin,Hebron,west-bank,5,0,0,Non Resedential
2024-11-18,Huwarah,Nablus,west-bank,2,0,0,Non Resedential
2024-11-18,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-18,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-18,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental
2024-11-18,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental
2024-11-18,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental
2024-11-18,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental
2024-11-18,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental
2024-11-14,Yatma,Nablus,west-bank,1,5,2,Residental
2024-11-14,Yatma,Nablus,west-bank,1,2,0,Residental
2024-11-14,al-Walajah,Bethlehem,west-bank,1,0,0,Residental
2024-11-13,Bardalah,Tubas,west-bank,1,5,3,Residental
2024-11-13,Beit Ummar,Hebron,west-bank,1,7,4,Residental
2024-11-13,Beit Ummar,Hebron,west-bank,1,0,0,Residental
2024-11-13,Kardalah,Tubas,west-bank,1,0,0,Residental
2024-11-12,a-Zawiya,Jenin,west-bank,1,0,0,Residental
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,2,0,0,Non Resedential
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,3,0,0,Non Resedential
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-11,Jaba' 'Ararah,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-06,al-Jiftlik,Jericho,west-bank,1,0,0,Residental
2024-11-06,Kh. Jurat al-Jamal,Hebron,west-bank,1,0,0,Residental
2024-11-06,a-Rakeez,Hebron,west-bank,1,6,4,Residental
2024-11-05,a-Sawiyah,Nablus,west-bank,1,0,0,Non Resedential
2024-11-04,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential
2024-11-04,Jericho,Jericho,west-bank,1,0,0,Residental
2024-11-04,Jericho,Jericho,west-bank,1,0,0,Non Resedential
2024-11-04,Jericho,Jericho,west-bank,2,0,0,Non Resedential
2024-10-30,Qalqiliyah,Qalqiliya,west-bank,3,0,0,Non Resedential
2024-10-19,al-Farisiyah (Nab'a al-Ghazal),Tubas,west-bank,1,0,0,Non Resedential
2024-10-15,a-Lubban a-Sharqiyah,Nablus,west-bank,1,0,0,Non Resedential
2024-10-15,Kafr a-Dik,Salfit,west-bank,1,0,0,Residental
2024-10-15,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2024-10-15,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,10,5,Residental
2024-10-15,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential
2024-10-14,Saffa,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-10-13,Qusin,Nablus,west-bank,1,0,0,Non Resedential
2024-10-13,Qusin,Nablus,west-bank,2,0,0,Non Resedential
2024-10-13,Qusin,Nablus,west-bank,1,0,0,Non Resedential
2024-10-10,Furush Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential
2024-10-10,al-'Arrub R.C.,Hebron,west-bank,1,0,0,Non Resedential
2024-10-10,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential
2024-10-10,,,west-bank,1,0,0,Non Resedential
2024-10-10,a-Zawiya,Jenin,west-bank,1,0,0,Residental
2024-10-10,a-Zawiya,Jenin,west-bank,1,0,0,Residental
2024-10-10,al-'Arrub R.C.,Hebron,west-bank,1,7,3,Residental
2024-10-10,al-'Arrub R.C.,Hebron,west-bank,1,0,0,Non Resedential
2024-10-07,Halhul,Hebron,west-bank,1,1,0,Residental
2024-10-01,a-Rakeez,Hebron,west-bank,1,0,0,Non Resedential
2024-10-01,a-Samu',Hebron,west-bank,1,0,0,Non Resedential
2024-10-01,Jericho,Jericho,west-bank,1,0,0,Residental
2024-10-01,Beit Jala,Bethlehem,west-bank,2,0,0,Non Resedential
2024-10-01,Jericho,Jericho,west-bank,1,0,0,Residental
2024-10-01,Jericho,Jericho,west-bank,1,0,0,Non Resedential
2024-10-01,Jericho,Jericho,west-bank,1,0,0,Residental
2024-10-01,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential
2024-10-01,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential
2024-09-26,Tayasir,Tubas,west-bank,1,2,0,Residental
2024-09-26,Tayasir,Tubas,west-bank,0,0,0,Non Resedential
2024-09-26,al-'Aqabah,Tubas,west-bank,1,0,0,Residental
2024-09-26,al-'Aqabah,Tubas,west-bank,1,0,0,Residental
2024-09-26,al-Burj,Hebron,west-bank,1,2,0,Residental
2024-09-25,Beit Sira,Ramallah and al-Bira,west-bank,3,0,0,Non Resedential
2024-09-25,Beit Sira,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential
2024-09-25,Beit Sira,Ramallah and al-Bira,west-bank,3,0,0,Non Resedential
2024-09-24,Turah a-Sharqiyah,Jenin,west-bank,2,0,0,Residental
2024-09-24,Um a-Rihan,Jenin,west-bank,1,0,0,Non Resedential
2024-09-24,Um a-Rihan,Jenin,west-bank,1,0,0,Non Resedential
2024-09-24,Um a-Rihan,Jenin,west-bank,1,0,0,Non Resedential
2024-09-23,al-Jiftlik,Jericho,west-bank,2,12,4,Residental
2024-09-23,al-Jiftlik,Jericho,west-bank,4,0,0,Non Resedential
2024-09-23,Tulkarm,Tulkarm,west-bank,1,0,0,Non Resedential
2024-09-22,Idhna,Hebron,west-bank,1,5,3,Residental
2024-09-22,Idhna,Hebron,west-bank,1,0,0,Residental
2024-09-22,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2024-09-19,Beit 'Awwa,Hebron,west-bank,1,0,0,Non Resedential
2024-09-19,Beit 'Awwa,Hebron,west-bank,1,5,3,Residental
2024-09-18,al-Buweib,Hebron,west-bank,1,0,0,Non Resedential
2024-09-17,Duma,Hebron,west-bank,2,0,0,Non Resedential
2024-09-17,Duma,Hebron,west-bank,2,0,0,Non Resedential
2024-09-17,Kh. Jubara,Tulkarm,west-bank,1,4,1,Residental
2024-09-17,Kh. Jubara,Tulkarm,west-bank,1,1,0,Residental
2024-09-16,Hizma,al-Quds,west-bank,3,0,0,Non Resedential
2024-09-12,Deir Ballut,Salfit,west-bank,1,0,0,Residental
2024-09-12,Farsh al-Hawa,Hebron,west-bank,1,0,0,Residental
2024-09-11,Bidu,al-Quds,west-bank,1,0,0,Non Resedential
2024-09-11,Bidu,al-Quds,west-bank,1,0,0,Non Resedential
2024-09-11,Yatta,Hebron,west-bank,1,7,3,Residental
2024-09-11,Yatta,Hebron,west-bank,0,0,0,Non Resedential
2024-09-11,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2024-09-11,Bidu,al-Quds,west-bank,1,8,4,Residental
2024-09-11,Bidu,al-Quds,west-bank,3,0,0,Non Resedential
2024-09-11,Bidu,al-Quds,west-bank,5,0,0,Non Resedential
2024-09-11,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential
2024-09-11,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential
2024-09-11,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential
2024-09-09,Hizma,al-Quds,west-bank,1,6,0,Residental
2024-09-09,Marj Na'jah,Jericho,west-bank,9,0,0,Non Resedential
2024-09-05,al-Jiftlik,Jericho,west-bank,7,50,28,Residental
2024-09-04,Qalqas,Hebron,west-bank,1,0,0,Residental
2024-09-04,Furush Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential
2024-09-03,Nablus,Nablus,west-bank,2,0,0,Residental
2024-09-03,Nablus,Nablus,west-bank,1,3,1,Residental
2024-09-03,a-Zawiya,Salfit,west-bank,1,0,0,Residental
2024-09-03,a-Zawiya,Salfit,west-bank,3,0,0,Residental
2024-09-03,Duma,Nablus,west-bank,1,6,2,Residental
2024-09-03,Duma,Nablus,west-bank,1,8,6,Residental
2024-09-02,Hebron,Hebron,west-bank,1,0,0,Non Resedential
2024-09-02,Kh. a-Tiran,Hebron,west-bank,1,0,0,Non Resedential
2024-09-02,al-Jiftlik,Jericho,west-bank,1,0,0,Non Resedential
2024-09-02,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental
2024-09-02,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental
2024-09-02,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2024-09-02,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2024-08-22,Kharbatha al-Misbah,Ramallah and al-Bira,west-bank,2,7,3,Residental
2024-08-22,Kharbatha al-Misbah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-08-21,Saffa,Ramallah and al-Bira,west-bank,1,4,0,Residental
2024-08-21,Saffa,Ramallah and al-Bira,west-bank,3,0,0,Non Resedential
2024-08-21,Saffa,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-08-20,Tuqu',Bethlehem,west-bank,1,11,8,Residental
2024-08-19,a-Ram,al-Quds,west-bank,6,0,0,Residental
2024-08-19,Furush Beit Dajan,Nablus,west-bank,3,0,0,Non Resedential
2024-08-19,Jayus,Qalqiliya,west-bank,1,0,0,Non Resedential
2024-08-17,al-Mu'arrajat East,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2024-08-15,Um a-Rihan,Jenin,west-bank,2,0,0,Non Resedential
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,7,5,Residental
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,5,3,Residental
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,0,0,Non Resedential
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,8,6,Residental
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,0,0,Non Resedential
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,2,0,0,Non Resedential
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,0,0,Non Resedential
2024-08-14,a-Tur (West Bank),al-Quds,west-bank,1,0,0,Non Resedential
2024-08-14,Um al-Kheir,Hebron,west-bank,3,0,0,Residental
2024-08-12,al-Jiftlik,Jericho,west-bank,1,2,0,Residental
2024-08-08,a-Za'ayem,al-Quds,west-bank,1,7,5,Residental
2024-08-07,Furush Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential
2024-08-07,Furush Beit Dajan,Nablus,west-bank,1,0,0,Residental
2024-08-07,Birin,Hebron,west-bank,1,0,0,Residental
2024-08-07,Birin,Hebron,west-bank,1,5,3,Residental
2024-08-07,Birin,Hebron,west-bank,1,9,5,Residental
2024-08-07,Birin,Hebron,west-bank,1,10,5,Residental
2024-08-05,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential
2024-08-05,al-Jalameh,Jenin,west-bank,1,0,0,Residental
2024-08-05,al-Jalameh,Jenin,west-bank,1,0,0,Residental
2024-08-04,Jalbun,Jenin,west-bank,1,0,0,Non Resedential
2024-08-01,a-Rihiya,Hebron,west-bank,2,0,0,Non Resedential
2024-08-01,Beit 'Anan,al-Quds,west-bank,4,0,0,Residental
2024-08-01,Beit 'Anan,al-Quds,west-bank,1,0,0,Non Resedential
2024-08-01,al-Baq'ah (Hebron),Hebron,west-bank,1,0,0,Non Resedential
2024-08-01,Hebron,Hebron,west-bank,1,0,0,Non Resedential
2024-07-31,Deir Ballut,Salfit,west-bank,2,0,0,Non Resedential
2024-07-30,Beit 'Awwa,Hebron,west-bank,1,8,5,Residental
2024-07-30,Beit 'Awwa,Hebron,west-bank,1,0,0,Non Resedential
2024-07-30,Duma,Nablus,west-bank,3,0,0,Residental
2024-07-30,Duma,Nablus,west-bank,3,0,0,Non Resedential
2024-07-30,Yatma,Nablus,west-bank,2,0,0,Non Resedential
2024-07-30,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,0,0,Non Resedential
2024-07-30,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,6,4,Residental
2024-07-30,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,0,0,Non Resedential
2024-07-29,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2024-07-26,Dahiyat al-Bareed,Ramallah and al-Bira,west-bank,4,0,0,Residental
2024-07-26,Dahiyat al-Bareed,Ramallah and al-Bira,west-bank,4,0,0,Residental
2024-07-25,al-Jiftlik,Jericho,west-bank,4,0,0,Non Resedential
2024-07-25,al-Jiftlik,Jericho,west-bank,1,0,0,Non Resedential
2024-07-25,al-Haskah,Hebron,west-bank,4,0,0,Residental
2024-07-25,Farsh al-Hawa,Hebron,west-bank,2,0,0,Non Resedential
2024-07-24,Jericho,Jericho,west-bank,1,12,5,Residental
2024-07-24,Jericho,Jericho,west-bank,2,0,0,Non Resedential
2024-07-23,al-Jawaya,Hebron,west-bank,1,0,0,Residental
2024-07-23,a-Rakeez,Hebron,west-bank,1,12,5,Residental
2024-07-23,a-Rakeez,Hebron,west-bank,2,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,2,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,2,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,6,4,Residental
2024-07-22,'Anata,al-Quds,west-bank,1,2,0,Residental
2024-07-22,'Anata,al-Quds,west-bank,1,5,3,Residental
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Residental
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,2,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,4,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-22,'Anata,al-Quds,west-bank,1,3,0,Residental
2024-07-22,al-Walajah,Bethlehem,west-bank,1,5,3,Residental
2024-07-22,Fheidat,al-Quds,west-bank,1,1,0,Residental
2024-07-22,al-Walajah,Bethlehem,west-bank,1,5,3,Residental
2024-07-22,Fheidat,al-Quds,west-bank,1,4,2,Residental
2024-07-22,Fheidat,al-Quds,west-bank,1,5,3,Residental
2024-07-18,Jericho,Jericho,west-bank,8,0,0,Non Resedential
2024-07-17,Bani Na'im,Hebron,west-bank,3,0,0,Non Resedential
2024-07-16,Farsh al-Hawa,Hebron,west-bank,1,0,0,Non Resedential
2024-07-15,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-15,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-15,Hizma,al-Quds,west-bank,3,0,0,Non Resedential
2024-07-15,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2024-07-14,'Ein a-Duyuk a-Tahta,Jericho,west-bank,3,0,0,Non Resedential
2024-07-14,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2024-07-11,Jericho,Jericho,west-bank,1,0,0,Residental
2024-07-11,Jericho,Jericho,west-bank,1,0,0,Residental
2024-07-11,Qalqas,Hebron,west-bank,3,18,11,Residental
2024-07-11,Jericho,Jericho,west-bank,5,0,0,Non Resedential
2024-07-10,Tayasir,Tubas,west-bank,1,0,0,Non Resedential
2024-07-10,Husan,Bethlehem,west-bank,1,0,0,Non Resedential
2024-07-09,Furush Beit Dajan,Nablus,west-bank,1,4,2,Residental
2024-07-09,Furush Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential
2024-07-08,Shweikah,Tulkarm,west-bank,2,5,0,Residental
2024-07-08,Shweikah,Tulkarm,west-bank,1,0,0,Residental
2024-07-08,Qawawis,Hebron,west-bank,1,2,0,Residental
2024-07-08,Qawawis,Hebron,west-bank,1,0,0,Non Resedential
2024-07-08,She'b al-Batem,Hebron,west-bank,1,5,3,Residental
2024-07-08,She'b al-Batem,Hebron,west-bank,1,5,3,Residental
2024-07-08,Um Lasafa,Hebron,west-bank,1,0,0,Non Resedential
2024-07-04,Birin,Hebron,west-bank,1,5,1,Residental
2024-07-04,Birin,Hebron,west-bank,1,6,4,Residental
2024-07-04,Birin,Hebron,west-bank,1,7,4,Residental
2024-07-04,Birin,Hebron,west-bank,1,6,0,Residental
2024-07-04,Birin,Hebron,west-bank,1,0,0,Non Resedential
2024-07-04,Birin,Hebron,west-bank,1,4,3,Residental
2024-07-04,Birin,Hebron,west-bank,1,6,4,Residental
2024-07-03,Yatma,Nablus,west-bank,1,0,0,Residental
2024-07-03,Yatma,Nablus,west-bank,1,0,0,Residental
2024-07-03,Tuqu',Bethlehem,west-bank,1,0,0,Non Resedential
2024-07-03,Kh. Twayel,Nablus,west-bank,1,8,4,Residental
2024-07-03,Kh. Twayel,Nablus,west-bank,2,0,0,Non Resedential
2024-07-03,Kh. Twayel,Nablus,west-bank,1,8,3,Residental
2024-07-03,Kh. Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-07-03,Kh. Twayel,Nablus,west-bank,1,9,4,Residental
2024-07-03,Kh. Twayel,Nablus,west-bank,1,0,0,Non Resedential
2024-07-03,Fasayil al-Foqa,Jericho,west-bank,1,0,0,Residental
2024-07-03,Fasayil al-Wusta,Jericho,west-bank,1,0,0,Non Resedential
2024-07-03,Kh. Tuqu',Bethlehem,west-bank,1,0,0,Non Resedential
2024-07-02,Kh. 'Allan,Jericho,west-bank,1,12,9,Residental
2024-07-02,Kh. 'Allan,Jericho,west-bank,3,0,0,Non Resedential
2024-07-01,al-'Auja,Jericho,west-bank,4,0,0,Residental
2024-07-01,al-'Auja,Jericho,west-bank,7,0,0,Non Resedential
2024-06-26,Beitillu,Ramallah and al-Bira,west-bank,1,0,0,Residental
2024-06-25,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2024-06-25,Tarqumya,Hebron,west-bank,1,8,3,Residental
2024-06-25,Marah Ma'alla,Bethlehem,west-bank,1,0,0,Residental
2024-06-25,Jericho,Jericho,west-bank,3,0,0,Non Resedential
2024-06-25,Um al-Kheir,Hebron,west-bank,1,7,5,Residental
2024-06-25,Jericho,Jericho,west-bank,4,0,0,Non Resedential
2024-06-25,Um al-Kheir,Hebron,west-bank,1,0,0,Non Resedential
2024-06-25,Jericho,Jericho,west-bank,2,6,2,Residental
2024-06-25,Jericho,Jericho,west-bank,5,0,0,Non Resedential
2024-06-25,Farsh al-Hawa,Hebron,west-bank,1,6,4,Residental
2024-06-25,Farsh al-Hawa,Hebron,west-bank,3,0,0,Non Resedential
2024-06-25,Um al-Kheir,Hebron,west-bank,1,0,0,Non Resedential
2024-06-25,Um al-Kheir,Hebron,west-bank,2,15,12,Residental
2024-06-24,Halhul,Hebron,west-bank,2,0,0,Non Resedential
2024-06-23,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,5,3,Residental
2024-06-23,'Ein a-Duyuk a-Tahta,Jericho,west-bank,3,0,0,Non Resedential
2024-06-23,'Aqbat Jaber R.C.,Jericho,west-bank,1,3,1,Residental
2024-06-23,'Aqbat Jaber R.C.,Jericho,west-bank,1,4,2,Residental
2024-06-23,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2024-06-23,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2024-06-13,Kh. Um Qusah,Hebron,west-bank,1,10,8,Residental
2024-06-10,Furush Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential
2024-06-10,Jaba',al-Quds,west-bank,1,0,0,Residental
2024-06-10,Sabastiya,Nablus,west-bank,1,0,0,Non Resedential
2024-06-10,Furush Beit Dajan,Nablus,west-bank,1,5,0,Residental
2024-06-06,Kh. a-Rahwah,Hebron,west-bank,1,9,7,Residental
2024-06-06,Kh. a-Rahwah,Hebron,west-bank,1,7,4,Residental
2024-06-06,Kh. a-Rahwah,Hebron,west-bank,1,5,3,Residental
2024-06-06,Kh. a-Rahwah,Hebron,west-bank,1,2,0,Residental
